,종목 코드,상승 확률,하락 확률,변동 없는 확률,상승 확률 높은 순위
918,023460,0.5040322580645161,0.40725806451612906,0.08870967741935484,190.0
916,051500,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
825,130660,0.5040322580645161,0.4475806451612903,0.04838709677419355,190.0
688,281820,0.5040322580645161,0.47580645161290325,0.020161290322580645,190.0
1457,299660,0.5040322580645161,0.49193548387096775,0.004032258064516129,190.0
1450,067770,0.5040322580645161,0.4637096774193548,0.03225806451612903,190.0
453,200880,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
1519,222800,0.5040322580645161,0.4637096774193548,0.03225806451612903,190.0
2309,066130,0.5040322580645161,0.4435483870967742,0.05241935483870968,190.0
2273,237750,0.5040322580645161,0.46774193548387094,0.028225806451612902,190.0
728,007980,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
294,102260,0.5040322580645161,0.43548387096774194,0.06048387096774194,190.0
289,007590,0.5040322580645161,0.41935483870967744,0.07661290322580645,190.0
1794,057540,0.5040322580645161,0.4717741935483871,0.024193548387096774,190.0
284,145720,0.5040322580645161,0.46774193548387094,0.028225806451612902,190.0
1846,196700,0.5040322580645161,0.45564516129032256,0.04032258064516129,190.0
1028,053270,0.5040322580645161,0.43548387096774194,0.06048387096774194,190.0
85,037560,0.5040322580645161,0.43951612903225806,0.056451612903225805,190.0
86,051910,0.5040322580645161,0.4717741935483871,0.024193548387096774,190.0
628,013360,0.5040322580645161,0.4475806451612903,0.04838709677419355,190.0
1864,036200,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
264,012800,0.5040322580645161,0.41935483870967744,0.07661290322580645,190.0
879,003010,0.5040322580645161,0.46774193548387094,0.028225806451612902,190.0
256,069620,0.5040322580645161,0.4596774193548387,0.036290322580645164,190.0
1902,044960,0.5040322580645161,0.4596774193548387,0.036290322580645164,190.0
94,108670,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
684,006380,0.5040322580645161,0.4717741935483871,0.024193548387096774,190.0
2212,034230,0.5040322580645161,0.42338709677419356,0.07258064516129033,190.0
176,017040,0.5040322580645161,0.4274193548387097,0.06854838709677419,190.0
1340,008470,0.5040322580645161,0.4475806451612903,0.04838709677419355,190.0
1386,032280,0.5040322580645161,0.45161290322580644,0.04435483870967742,190.0
1809,122870,0.5040322580645161,0.45564516129032256,0.04032258064516129,190.0
1201,039840,0.5040322580645161,0.4475806451612903,0.04838709677419355,190.0
508,001725,0.5040322580645161,0.3709677419354839,0.125,190.0
755,039130,0.5040322580645161,0.4717741935483871,0.024193548387096774,190.0
1258,098120,0.5040322580645161,0.4717741935483871,0.024193548387096774,190.0
459,007610,0.5040322580645161,0.4435483870967742,0.05241935483870968,190.0
1283,059210,0.5040322580645161,0.41935483870967744,0.07661290322580645,190.0
2194,026150,0.5040322580645161,0.4596774193548387,0.036290322580645164,190.0
1369,072950,0.5040322580645161,0.46774193548387094,0.028225806451612902,190.0
